strategy,symbol,symbol_name,timeframe,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,elapsed_time
Statistical Arbitrage,BTCUSDT,Bitcoin,1d,8.971082085594789,0.5029296584330231,-6.161229495705087,2,100.0,1.0722408294677734
Statistical Arbitrage,ETHUSDT,Ethereum,1d,12.06395962500781,0.56180623318065,-6.298138538687563,3,66.66666666666666,1.286376953125
Statistical Arbitrage,BNBUSDT,Binance Coin,1d,4.2023227780192425,0.7759221804934486,-0.47516175480001044,1,100.0,1.1511211395263672
Statistical Arbitrage,ADAUSDT,Cardano,1d,20.507984276608298,1.0469622825187133,-3.4447356312652797,3,100.0,1.0586538314819336
Statistical Arbitrage,XRPUSDT,Ripple,1d,25.78756772316414,0.7196863966947692,-11.718402772814526,5,100.0,1.0604290962219238
Statistical Arbitrage,MATICUSDT,Polygon,1d,-16.420539416890335,-1.2485300763031792,-23.489277191189277,3,33.33333333333333,1.0440759658813477
Statistical Arbitrage,LINKUSDT,Chainlink,1d,11.780437135055873,0.3855405830916484,-13.004573317320261,3,100.0,0.9534618854522705
Statistical Arbitrage,ATOMUSDT,Cosmos,1d,-22.053753839980274,-0.6882566731275728,-28.70670550169594,4,25.0,1.036891222000122
Market Microstructure,BTCUSDT,Bitcoin,4h,-0.15868937913157424,-0.41226934688776096,-0.15868937913157424,1,0.0,4.059916019439697
Market Microstructure,ETHUSDT,Ethereum,4h,-0.9093465391429708,-0.09774168365390815,-3.3687653275123943,3,33.33333333333333,4.14635705947876
Market Microstructure,BNBUSDT,Binance Coin,4h,0.2771168390069761,0.23404017068736097,-0.1294717884732469,1,100.0,4.735946416854858
Market Microstructure,SOLUSDT,Solana,4h,1.3320231267374039,0.3313944186264788,-0.03200000000000728,1,100.0,3.9844350814819336
Market Microstructure,ADAUSDT,Cardano,4h,-1.158023673906573,-0.3489573949052073,-1.158023673906573,1,0.0,4.041392803192139
Market Microstructure,AVAXUSDT,Avalanche,4h,0.708770028643521,0.06118989169967217,-3.3443209370865126,2,50.0,3.8328068256378174
Market Microstructure,DOTUSDT,Polkadot,4h,-4.94175106212173,-0.4675206000497606,-6.201881509786055,3,0.0,4.429091215133667
Adaptive Grid Trading,BTCUSDT,Bitcoin,4h,-1.383274762024921,-0.2129093965946311,-2.5425219296166626,47,29.78723404255319,1.7830748558044434
Adaptive Grid Trading,ETHUSDT,Ethereum,4h,-2.8545342549714587,-0.3313495024264293,-4.0593535245121295,43,34.883720930232556,1.6697931289672852
Adaptive Grid Trading,BNBUSDT,Binance Coin,4h,0.7944384497861938,0.12635877283852495,-2.9928052594251677,41,48.78048780487805,1.4731640815734863
Adaptive Grid Trading,SOLUSDT,Solana,4h,-2.015504383408952,-0.25775980614511995,-2.740032049793871,38,42.10526315789473,1.4295809268951416
Adaptive Grid Trading,ADAUSDT,Cardano,4h,-4.671835662416907,-0.5943181031849498,-4.671835662416907,37,29.72972972972973,1.890810251235962
Adaptive Grid Trading,XRPUSDT,Ripple,4h,0.14340429819772907,0.02121299540182902,-2.664510006554806,56,39.285714285714285,1.950002908706665
Adaptive Grid Trading,AVAXUSDT,Avalanche,4h,-8.015155245163768,-0.8751639595127924,-8.449611555513242,39,20.51282051282051,1.604198932647705
Adaptive Grid Trading,DOTUSDT,Polkadot,4h,0.04080572146593113,0.009782206227633447,-2.2625189223960245,39,46.15384615384615,1.3130919933319092
Adaptive Grid Trading,LINKUSDT,Chainlink,4h,-3.537533057162527,-0.48199119539129665,-4.217020270385683,35,34.285714285714285,1.3722052574157715
Adaptive Grid Trading,ATOMUSDT,Cosmos,4h,-4.032767381847407,-0.5115656710049825,-5.0750461934342495,48,25.0,1.4809041023254395
