strategy,symbol,symbol_name,timeframe,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,elapsed_time
Statistical Arbitrage,BTCUSDT,Bitcoin,1d,4.092845878456119,0.3534634010688172,-6.161229495705087,1,100.0,2.1633009910583496
Statistical Arbitrage,ETHUSDT,Ethereum,1d,6.012118703830838,0.4957214592385368,-5.1130878290171005,1,100.0,3.99983811378479
Statistical Arbitrage,BNBUSDT,Binance Coin,1d,4.2023227780192425,0.7759221804934486,-0.4751617548000104,1,100.0,3.7483530044555664
Statistical Arbitrage,ADAUSDT,Cardano,1d,3.795151688780515,0.2072609575702163,-13.49967389686606,3,66.66666666666666,3.820656061172486
Statistical Arbitrage,XRPUSDT,Ripple,1d,19.054155246518476,0.5795337883377764,-11.718402772814526,5,100.0,2.7705740928649902
Statistical Arbitrage,LINKUSDT,Chainlink,1d,4.406703492664747,0.188721848478458,-13.00457331732026,2,50.0,3.932338953018189
Market Microstructure,BTCUSDT,Bitcoin,4h,-0.1586893791315742,-0.4122693468877609,-0.1586893791315742,1,0.0,6.725305080413818
Market Microstructure,ETHUSDT,Ethereum,4h,-0.9093465391429708,-0.0977416836539081,-3.3687653275123943,3,33.33333333333333,5.241223335266113
Market Microstructure,BNBUSDT,Binance Coin,4h,0.2771168390069761,0.2340401706873609,-0.1294717884732469,1,100.0,5.733765125274658
Market Microstructure,SOLUSDT,Solana,4h,1.332023126737404,0.3313944186264788,-0.0320000000000072,1,100.0,5.080604791641235
Market Microstructure,ADAUSDT,Cardano,4h,-1.158023673906573,-0.3489573949052073,-1.158023673906573,1,0.0,5.23146915435791
Market Microstructure,AVAXUSDT,Avalanche,4h,0.708770028643521,0.0611898916996721,-3.344320937086513,2,50.0,5.679772853851318
Market Microstructure,DOTUSDT,Polkadot,4h,-4.94175106212173,-0.4675206000497606,-6.201881509786055,3,0.0,5.470202684402466
Adaptive Grid Trading,BTCUSDT,Bitcoin,4h,-1.3236851007880068,-0.2036478578403223,-2.4836327494172186,47,29.78723404255319,2.0362389087677
Adaptive Grid Trading,ETHUSDT,Ethereum,4h,-2.8545342549714587,-0.3313495024264293,-4.0593535245121295,43,34.883720930232556,1.5901639461517334
Adaptive Grid Trading,BNBUSDT,Binance Coin,4h,0.8797110770467589,0.1396234328895593,-2.910736660344406,41,48.78048780487805,1.6331939697265625
Adaptive Grid Trading,SOLUSDT,Solana,4h,-1.926808934796427,-0.2463295039533305,-2.740032049793871,38,42.10526315789473,2.86509108543396
Adaptive Grid Trading,ADAUSDT,Cardano,4h,-4.671835662416907,-0.5943181031849498,-4.671835662416907,37,29.72972972972973,2.0962700843811035
Adaptive Grid Trading,XRPUSDT,Ripple,4h,0.143404298197729,0.021212995401829,-2.664510006554806,56,39.285714285714285,1.5813870429992676
Adaptive Grid Trading,AVAXUSDT,Avalanche,4h,-8.015155245163768,-0.8751639595127924,-8.449611555513242,39,20.51282051282051,1.5967679023742676
Adaptive Grid Trading,DOTUSDT,Polkadot,4h,0.1241227992651329,0.0184383046477861,-2.2625189223960245,39,46.15384615384615,2.352400779724121
Adaptive Grid Trading,LINKUSDT,Chainlink,4h,-3.537533057162527,-0.4819911953912966,-4.217020270385683,35,34.285714285714285,2.079273223876953
Triangular Arbitrage,ADAUSDT,Cardano,1h,7.895469541402781,0.240581278328225,-0.04,1,100.0,1.7377378940582275
